CODTOUR,DATETOUR,JOUR,NBEXP
A065,20-10-2020,MARDI,244
A065,21-10-2020,MERCREDI,244
A067,15-10-2020,JEUDI,222
A067,16-10-2020,VENDREDI,244
A067,17-10-2020,SAMEDI,246
A067,18-10-2020,DIMANCHE,229
A067,19-10-2020,LUNDI,219
A067,20-10-2020,MARDI,225
A067,21-10-2020,MERCREDI,225
A068,15-10-2020,JEUDI,113
A068,16-10-2020,VENDREDI,120
A068,17-10-2020,SAMEDI,113
A068,18-10-2020,DIMANCHE,102
A068,19-10-2020,LUNDI,105
A068,20-10-2020,MARDI,111
A068,21-10-2020,MERCREDI,111
A071,15-10-2020,JEUDI,204
A071,16-10-2020,VENDREDI,224
A071,17-10-2020,SAMEDI,230
A071,18-10-2020,DIMANCHE,220
A071,19-10-2020,LUNDI,200
A071,20-10-2020,MARDI,204
A071,21-10-2020,MERCREDI,203
A072,15-10-2020,JEUDI,115
A072,16-10-2020,VENDREDI,131
A072,17-10-2020,SAMEDI,126
A072,18-10-2020,DIMANCHE,119
A072,19-10-2020,LUNDI,113
A072,20-10-2020,MARDI,114
A072,21-10-2020,MERCREDI,114
A073,15-10-2020,JEUDI,226
A073,16-10-2020,VENDREDI,239
A073,17-10-2020,SAMEDI,236
A073,18-10-2020,DIMANCHE,224
A073,19-10-2020,LUNDI,225
A073,20-10-2020,MARDI,227
A073,21-10-2020,MERCREDI,227
A077,15-10-2020,JEUDI,219
A077,16-10-2020,VENDREDI,249
A077,17-10-2020,SAMEDI,239
A077,18-10-2020,DIMANCHE,222
A077,19-10-2020,LUNDI,217
A077,20-10-2020,MARDI,223
A077,21-10-2020,MERCREDI,223
A080,15-10-2020,JEUDI,134
A080,16-10-2020,VENDREDI,138
A080,17-10-2020,SAMEDI,139
A080,18-10-2020,DIMANCHE,120
A080,19-10-2020,LUNDI,131
A080,20-10-2020,MARDI,131
A080,21-10-2020,MERCREDI,131
A081,15-10-2020,JEUDI,224
A081,16-10-2020,VENDREDI,250
